====================================================================================================
FILE: raw/2016-17/monthly/FR_APr_2016.pdf
PAGES: 355
====================================================================================================
Page   1 | text_chars=    0 | images= 2 | 
Page  88 | text_chars= 4070 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 84 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  89 | text_chars= 4149 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 85 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  90 | text_chars= 3848 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 86 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  91 | text_chars= 3848 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 87 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  92 | text_chars= 3852 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 88 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  93 | text_chars= 4080 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 89 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  94 | text_chars= 4174 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 90 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  95 | text_chars= 4000 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 91 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  96 | text_chars= 3224 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 92 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  97 | text_chars= 3468 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 93 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
