====================================================================================================
FILE: raw/2024-25/monthly/April_Part-II_List_of_tables.pdf
PAGES: 572
====================================================================================================
Page   1 | text_chars=    0 | images= 1 | 
Page 101 | text_chars= 3457 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 102 | text_chars= 3418 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 103 | text_chars= 3353 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 104 | text_chars= 3350 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 105 | text_chars= 3468 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 106 | text_chars= 3515 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 107 | text_chars= 3674 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 108 | text_chars= 3514 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 109 | text_chars= 3451 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 110 | text_chars= 3697 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 111 | text_chars= 3423 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 112 | text_chars= 3583 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 113 | text_chars= 3587 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 114 | text_chars= 3739 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 115 | text_chars= 3534 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 116 | text_chars= 3548 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 117 | text_chars= 3392 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 118 | text_chars= 3567 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 119 | text_chars= 3601 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 120 | text_chars= 3515 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 121 | text_chars= 3557 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 122 | text_chars= 3568 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 123 | text_chars= 3647 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 124 | text_chars= 3116 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
Page 125 | text_chars=  725 | images= 1 | Details of On Schedule Projects w.r.t. Original Schedule Costing Rs. 150 Crore and above (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year)
